No Workers,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50,Run 51,Run 52,Run 53,Run 54,Run 55,Run 56,Run 57,Run 58,Run 59,Run 60,Run 61,Run 62,Run 63,Run 64,Run 65,Run 66,Run 67,Run 68,Run 69,Run 70,Run 71,Run 72,Run 73,Run 74,Run 75,Run 76,Run 77,Run 78,Run 79,Run 80,Run 81,Run 82,Run 83,Run 84,Run 85,Run 86,Run 87,Run 88,Run 89,Run 90,Run 91,Run 92,Run 93,Run 94,Run 95,Run 96,Run 97,Run 98,Run 99,Run 100,Mean,Stdev,Variance,Median,Min,Max
3,0.3400423729,0.4294159277,0.3888781431,0.3310067114,0.3658160809,0.3608407429,0.2565116634,0.4246210681,0.3139914139,0.3738523388,0.269921875,0.3627163491,0.3981350545,0.4356554263,0.3226750669,0.2935172935,0.3053077609,0.3429637956,0.4181952498,0.3764522892,0.4447577582,0.3854237912,0.3280633451,0.3310067114,0.4233261339,0.3986486486,0.2683752418,0.3173251125,0.3926245143,0.3864764516,0.3427470075,0.4791237909,0.3840919995,0.4511255011,0.3372340426,0.3770682665,0.3279014308,0.3931494701,0.4304500703,0.3109082508,0.3912721991,0.2941972921,0.2844598229,0.3923494201,0.3457221184,0.3542192338,0.4144736842,0.3034886853,0.4755892256,0.3716634429,0.2661352181,0.3286637931,0.3680259688,0.4591938171,0.3870949074,0.4243030956,0.3900767544,0.3731805803,0.2681673348,0.3542192338,0.2941972921,0.344632108,0.3731805803,0.3063198422,0.2715454983,0.3790140086,0.2769825919,0.357253396,0.3340646976,0.28923779,0.3028046422,0.3372250031,0.4651140952,0.3393425239,0.3738523388,0.3660933318,0.3425177199,0.321897179,0.3226750669,0.3146221546,0.3719670134,0.3716634429,0.383821971,0.3429637956,0.3632443331,0.3829561868,0.3035678639,0.3869421983,0.4076981583,0.3691139241,0.3286266925,0.4121255013,0.3457221184,0.3514683322,0.4159503532,0.383821971,0.3590534979,0.4197348236,0.3981350545,0.3771415587,0.3605513064,0.0501609286,0.0025161188,0.364530207,0.2565116634,0.4791237909
4,0.3643646566,0.4277343,0.4222500321,0.3892512632,0.3992456388,0.3950296063,0.3812328502,0.4051658954,0.3511423437,0.3171836719,0.3745692216,0.3556337184,0.3381803797,0.3595620885,0.3778077269,0.3868489583,0.3817303249,0.3427060393,0.3513284319,0.3944295328,0.3812328502,0.3855149758,0.2954496107,0.36816761,0.3958095145,0.3807686419,0.3881798651,0.3510687115,0.3876962272,0.3598222222,0.3944295328,0.3762020694,0.400612537,0.4164402014,0.3469397189,0.3510687115,0.3851866643,0.3555400966,0.4071509505,0.3545058091,0.3688902649,0.3814992026,0.3123105719,0.3383429793,0.3556702673,0.3513494335,0.3427082118,0.3424306153,0.3336041806,0.3513488198,0.4180451584,0.3332286761,0.4099208764,0.398916573,0.2997456497,0.3253267756,0.397950955,0.4017369935,0.3733231367,0.3556963332,0.351257971,0.3821495714,0.3556702673,0.2797085698,0.3295792589,0.3821495714,0.3905390539,0.3249104924,0.3640672443,0.3855149758,0.3979675752,0.3766771372,0.2868575328,0.3732436709,0.4005969407,0.3896233974,0.3133275297,0.3382101982,0.3462727865,0.4277343,0.3733235677,0.3420321236,0.4220632319,0.3249104924,0.3599360114,0.2797647147,0.3210784314,0.4119421663,0.3688215026,0.3822625905,0.3639128465,0.3470183219,0.3769507246,0.3425632911,0.35125705,0.3321566401,0.3136315581,0.3239355534,0.3851866643,0.3510687115,0.3645910312,0.0330973717,0.001095436,0.3662661333,0.2797085698,0.4277343
5,0.3605094943,0.3258322856,0.366078481,0.3253781796,0.3236747655,0.3391077915,0.3586703653,0.3595907298,0.3675452188,0.3468010646,0.3740676261,0.3743036195,0.4095502857,0.3247866567,0.3940360232,0.372668724,0.3861663612,0.3858968965,0.4030972899,0.4061392112,0.3433397764,0.3296906748,0.339337569,0.3707824342,0.3736098932,0.3678697255,0.3195593427,0.341660656,0.3494670514,0.4170106635,0.3768760285,0.3398983482,0.3500365557,0.3430454816,0.3878563603,0.3310787269,0.4059721596,0.3691513511,0.3468649196,0.3740931351,0.3691513511,0.347361809,0.3650039961,0.4270747174,0.357748386,0.3415716096,0.3695134357,0.3630777293,0.3607711277,0.3938302499,0.3736503241,0.3666603524,0.379289248,0.3730400911,0.4015444392,0.3851194296,0.3863294674,0.3949576953,0.3898733062,0.3637224025,0.3425074456,0.3863840013,0.3816439072,0.3084823166,0.362543961,0.4005901844,0.4019860698,0.3294619584,0.3949002756,0.3790348097,0.3294619584,0.3780905011,0.3391077915,0.3416894017,0.3284555062,0.3292531646,0.3875259148,0.3754883693,0.367275641,0.3768760285,0.381055374,0.3520003462,0.3685786668,0.3579412593,0.3704270371,0.3989115521,0.3918866412,0.3546452428,0.3771449981,0.3619086236,0.3590489284,0.3430454816,0.3625573751,0.3782966991,0.3748889975,0.3562278297,0.3149717946,0.3710215043,0.4051998454,0.3494412717,0.3656035177,0.0248179069,0.0006159285,0.3677074722,0.3084823166,0.4270747174
6,0.3770450856,0.3108593534,0.3992004237,0.3306682758,0.3716145242,0.3801244092,0.3605040985,0.3440534459,0.37115916,0.3763927896,0.3197267617,0.3317763713,0.3440534459,0.3378609258,0.3251840339,0.3645266448,0.3642677535,0.3780505665,0.3747783449,0.3379826255,0.3763897659,0.3896540084,0.3763969077,0.3479680581,0.3543639053,0.3665098518,0.3480890145,0.3012739741,0.350373325,0.3551367008,0.3726655604,0.3623934909,0.3504636107,0.3662845241,0.393556231,0.3638849086,0.3557124501,0.3533747792,0.4142081575,0.3746059494,0.3639463087,0.3535291586,0.3493582005,0.3332564244,0.3739547597,0.4077492481,0.3382901866,0.3235322298,0.3953566732,0.3424428268,0.3695954662,0.336718061,0.3626584149,0.3262388957,0.3342983385,0.3698002826,0.3493572214,0.3814562798,0.3907117953,0.3755007166,0.3545494914,0.3195407098,0.3268626063,0.3166691809,0.323821826,0.3610023988,0.3121449334,0.3586134775,0.3143050566,0.340400854,0.3722170155,0.3784835631,0.3249690048,0.347279367,0.3697170379,0.3347983143,0.3800010431,0.3821564641,0.3782667802,0.3626996036,0.3407232786,0.3871391103,0.3853884705,0.3099645963,0.3491219653,0.3009061516,0.3811149617,0.3814149947,0.3453157867,0.3859395463,0.3779744467,0.3613525371,0.3775119682,0.3574954846,0.3751594412,0.3718537946,0.356413321,0.3838227755,0.3601609464,0.3819385912,0.357800966,0.0243181574,0.0005913728,0.361177468,0.3009061516,0.4142081575
7,0.3409018768,0.3584525026,0.3386831234,0.3759778491,0.3484992221,0.3922504175,0.3313221771,0.3743760317,0.3610013175,0.3397665621,0.3497007137,0.3666933704,0.3635237159,0.3719790172,0.3656069932,0.3558901054,0.4239479231,0.3787662305,0.3684620106,0.3747997933,0.3693853428,0.3747663431,0.3584969142,0.3876695587,0.3684313062,0.3716840702,0.3631763411,0.3226652583,0.4008921697,0.3585120124,0.4084887937,0.3694629313,0.3485065295,0.3631272384,0.3835306246,0.3647872486,0.3252326979,0.3535143659,0.382685711,0.3722654085,0.3722654085,0.304513512,0.3259364505,0.3434461088,0.3572139939,0.3658835546,0.3850428521,0.3761854446,0.3922024251,0.3610112026,0.3541928031,0.3447726724,0.343591495,0.3607270193,0.3584856533,0.3868630255,0.3206009478,0.3920529699,0.3398438184,0.3790184974,0.3817036699,0.3763347872,0.3986820002,0.3593661715,0.3698510649,0.3521255977,0.3748573592,0.3386166225,0.3358645587,0.3774507886,0.3820470507,0.4102281172,0.3710609015,0.3688933624,0.3915416278,0.3558901054,0.3448096425,0.3747298048,0.3534866176,0.341113381,0.3497700237,0.3735158758,0.3223119442,0.3817036699,0.3810643245,0.38513052,0.3634974061,0.3659119898,0.3610112026,0.3531459799,0.3457733813,0.3556675189,0.3596674339,0.3482156189,0.3924051943,0.3594146238,0.339718419,0.3495372735,0.3779715718,0.4002538001,0.3641607268,0.0210750024,0.0004441557,0.3641554823,0.304513512,0.4239479231
8,0.3708818841,0.3954925482,0.3633481915,0.3933087156,0.3865510456,0.3478062839,0.3593033551,0.3910396118,0.3461420259,0.356613989,0.3487896823,0.3481747643,0.3681022985,0.3661344139,0.3603918664,0.4008943745,0.3540607837,0.3822886098,0.3672364205,0.3648665676,0.3808842423,0.3478373576,0.3582128364,0.3608305132,0.347159259,0.3878703392,0.3373947767,0.3899010241,0.3720086784,0.378469616,0.355206427,0.3506255651,0.3487982332,0.3554583851,0.3455644279,0.3630842765,0.3540607837,0.3752741054,0.3346420062,0.3706270549,0.3627525568,0.3739393669,0.3690150648,0.3603248192,0.3761982562,0.3364795761,0.3561950591,0.3700261844,0.3907025833,0.3344789071,0.3690638966,0.3697292011,0.3806991929,0.3981186419,0.3649479655,0.3717068586,0.3620849614,0.3625044694,0.3915202749,0.3416865154,0.3482108477,0.3644242426,0.3616018111,0.3590686257,0.3748463039,0.354172334,0.3612482236,0.3759990958,0.3670384156,0.3817431606,0.348971046,0.333038695,0.3499833718,0.3578086437,0.3604891771,0.3646785283,0.3849320151,0.376767878,0.3644177638,0.3745502342,0.3815435372,0.3507891361,0.388358625,0.3749127919,0.3538683872,0.365049702,0.3763417578,0.374119575,0.374119575,0.389288373,0.4101821075,0.3727079668,0.3723539486,0.3716349032,0.3548880859,0.3364597747,0.3638411365,0.3469383382,0.3787846236,0.3897480424,0.3661743249,0.0162316261,0.0002634657,0.3649072666,0.333038695,0.4101821075
9,0.3717091124,0.3224308556,0.3289662447,0.3604320881,0.3410624454,0.3612005727,0.3576287104,0.3335242091,0.373589472,0.3444043225,0.3471485336,0.3616201989,0.3409309362,0.3610685214,0.3437031178,0.3662704767,0.3547995253,0.3649716049,0.3739937431,0.3400052426,0.3482015305,0.4017996459,0.3610231961,0.3684309182,0.3518280354,0.3622365707,0.36677411,0.3600286574,0.3659647386,0.348995987,0.3810735702,0.3540279745,0.3783626845,0.3980717293,0.3578930467,0.360644688,0.3424982233,0.3772061609,0.3560545241,0.3487515554,0.3487316171,0.3765769209,0.3681614577,0.3695475661,0.3296455133,0.378454412,0.3438686227,0.3754891802,0.3737334861,0.3545586,0.3714185812,0.3693542833,0.3498528293,0.3491343245,0.3676021319,0.3461755263,0.3472640637,0.3449021173,0.3579029573,0.3833762284,0.3741920957,0.3606121422,0.3403485369,0.3447046051,0.3692103301,0.360822832,0.3554395826,0.3601492777,0.3751352455,0.3851549381,0.3898292679,0.415682701,0.3483019428,0.3760399278,0.3712338162,0.3584324109,0.3741920957,0.3603441093,0.3611290827,0.3533360138,0.3685261074,0.3569527028,0.3547443622,0.3709037973,0.3863678562,0.3198678515,0.3754361539,0.3610518837,0.3637075758,0.3704858788,0.3800027051,0.3670073394,0.3833528923,0.3727502967,0.3882241872,0.3680147218,0.3803274135,0.3720226289,0.3545403012,0.335252569,0.3620890808,0.0165565779,0.0002741203,0.361098802,0.3198678515,0.415682701
10,0.3859108888,0.3444748521,0.3462121097,0.3816363737,0.3837721893,0.365429357,0.3590481013,0.3543424504,0.3733084542,0.3706641286,0.35546875,0.3671344125,0.3572295263,0.3785327012,0.363498621,0.3508839165,0.3837908624,0.3703579468,0.3814320662,0.353742327,0.3577514303,0.3739837398,0.364703109,0.394175866,0.3468316668,0.3741539763,0.3631517219,0.3561262529,0.3677559222,0.3581113441,0.381715313,0.3698205309,0.3870621032,0.3987008565,0.3612741942,0.3553483061,0.3679890561,0.3860560711,0.3555392405,0.3828733718,0.3474192729,0.3594970703,0.3474158977,0.3468075299,0.3656261896,0.380715891,0.3878177467,0.3988034498,0.3643316264,0.3912701386,0.3626222832,0.3806219987,0.3754312139,0.3747062706,0.3820849158,0.3606005039,0.3514497499,0.3708090007,0.3770460601,0.3746093046,0.3491211593,0.3651602097,0.3813149125,0.3619292605,0.3682707825,0.3774628301,0.3577083656,0.3710416721,0.3455592281,0.3364418194,0.3779564682,0.3701941378,0.3912997121,0.3636172387,0.4013590409,0.3402217742,0.3708355795,0.3606005039,0.3655041855,0.3916958588,0.377643824,0.3660544649,0.3785762458,0.3508917118,0.3682186587,0.3682707825,0.3696345865,0.3741254125,0.3805877481,0.339164557,0.364100865,0.3577306677,0.3664318081,0.3787359814,0.3676669472,0.3773921768,0.3659313578,0.3889621581,0.3531884601,0.36297441,0.3683325779,0.0141421466,0.0002000003,0.3678724891,0.3364418194,0.4013590409
11,0.3685744617,0.3508071933,0.3787828146,0.3693520717,0.3643804913,0.3675582837,0.3548171634,0.3538181033,0.3737941386,0.3578426318,0.3573719008,0.3616850095,0.3620039433,0.3488801748,0.3610162434,0.358274867,0.3538741001,0.3696458837,0.3565683629,0.3653735964,0.357647396,0.3679205254,0.3454511155,0.3573547859,0.3750278658,0.3502301161,0.3653124847,0.3566469483,0.3650153223,0.341581337,0.3666538398,0.3753005301,0.3515080982,0.3421279065,0.357179209,0.3834785751,0.3667104748,0.3537150076,0.3475069709,0.3801795184,0.3704384485,0.3820433797,0.3641299439,0.3736853297,0.3733225981,0.3686069069,0.3606411101,0.361508012,0.3709648953,0.3632875353,0.3770118221,0.3575889,0.3479842884,0.3571891591,0.3660252346,0.3631657248,0.3515609646,0.3611546098,0.3655852528,0.3700422676,0.3759712436,0.3673293236,0.354666126,0.3380967456,0.3679205254,0.3686345296,0.3537120984,0.354891191,0.3556133741,0.3530691322,0.3632789399,0.3589420634,0.348802489,0.3690404584,0.377484499,0.3657779491,0.3776429136,0.3682346432,0.3570648806,0.3550630646,0.3885826032,0.3620056247,0.3673893862,0.3618416463,0.3511800721,0.3683943481,0.3641043162,0.3598655396,0.3415610532,0.3714364358,0.3663529891,0.3622986588,0.3510148372,0.3549793911,0.3627506329,0.3831378541,0.3693697648,0.3562256365,0.365795024,0.3777788393,0.3626420669,0.0100702585,0.0001014101,0.3629581789,0.3380967456,0.3885826032
12,0.3725705774,0.3677013219,0.3688868819,0.3632852925,0.3562409083,0.3738544368,0.3437526408,0.3820653213,0.356636095,0.3824834624,0.3786501574,0.3683665026,0.3576711608,0.3657322139,0.371884005,0.3630249983,0.3764990172,0.3633542685,0.3596758006,0.3596758006,0.3593669156,0.3470248264,0.3625004939,0.3630759655,0.3784398891,0.362631561,0.3607624321,0.3722765775,0.3519063095,0.3695665049,0.3564558088,0.3635942029,0.3588755167,0.3760084295,0.3592483955,0.3569190795,0.3528025508,0.3663605997,0.3534758383,0.3669593714,0.3759993029,0.3794832394,0.3543915349,0.3594851936,0.3783690533,0.3758097299,0.3711025388,0.3623508701,0.3698179477,0.3495201114,0.3684259755,0.3567799904,0.3476808386,0.3529506665,0.3599486933,0.3695665049,0.3587806747,0.3774850354,0.367584778,0.3653173113,0.3531867488,0.3689397986,0.3607845591,0.3591284971,0.3487323615,0.368315142,0.3664937389,0.3580932879,0.3754931832,0.3767827313,0.3633542685,0.3670779776,0.3701068699,0.3645398285,0.3678129277,0.3638825666,0.3697866619,0.382744051,0.3545342395,0.3644872538,0.3556301653,0.3628548375,0.368151404,0.3692091528,0.3657790595,0.3671927359,0.377058185,0.3499179215,0.3586576499,0.3516153164,0.3576976597,0.3601919465,0.3615329787,0.3519844652,0.3536020412,0.3806687722,0.3712109545,0.3631368783,0.3559450237,0.3690485532,0.3642647452,0.0089002489,7.921443088706761e-05,0.3634742357,0.3437526408,0.382744051
13,0.3760793173,0.357122239,0.3631834693,0.3629593818,0.361548447,0.3652369802,0.3605712071,0.3608482883,0.3578541267,0.3617237773,0.3643301271,0.3702864299,0.3719409585,0.3616610898,0.3612352843,0.3615648542,0.360514004,0.34745901,0.3648597007,0.3668823741,0.3684967599,0.3731410027,0.3684794843,0.3500585443,0.3865916821,0.3595365199,0.364439006,0.3701869478,0.373751255,0.3474746208,0.3695594042,0.3796832564,0.3770809511,0.364901659,0.3650394979,0.3588108927,0.3701416773,0.3611705361,0.3666197038,0.3590164957,0.3572846472,0.3548442735,0.3639345573,0.3654760601,0.370117715,0.351488326,0.3632449467,0.36537107,0.363754531,0.3625791319,0.3568624874,0.3735271889,0.3676114266,0.363235464,0.3565088823,0.3799911127,0.3784404879,0.3679420009,0.3743235157,0.3568539503,0.3717823088,0.3698530066,0.361157578,0.3654760601,0.3558274773,0.3610790624,0.3721663508,0.3645781409,0.3710077951,0.3665782649,0.3577741558,0.367997306,0.3635225633,0.3631591731,0.3527813879,0.3612288357,0.3661615657,0.3747283021,0.3691851242,0.355710753,0.3590876205,0.354162601,0.3693222592,0.3666197038,0.3618384184,0.3550790119,0.3630287313,0.3593851099,0.3548191937,0.3687129229,0.3667885275,0.352812242,0.3664728109,0.3651607681,0.3687129229,0.3625437679,0.3623446928,0.3575245927,0.3608590563,0.3809934812,0.3643345639,0.0072789034,5.298243524486646e-05,0.3638445442,0.34745901,0.3865916821
14,0.3604494615,0.3586689296,0.3687711989,0.367797253,0.375939366,0.3684839933,0.3640297665,0.3703298514,0.3657646367,0.366357169,0.3661912684,0.3624939175,0.3716682596,0.3594913715,0.3553796596,0.3658716595,0.3758157481,0.3698836338,0.3622829102,0.3654020319,0.361421906,0.3584681687,0.3589184657,0.3592803685,0.3663009297,0.3717886119,0.3630620303,0.3686682877,0.3699108257,0.3652221169,0.3612400204,0.3565540483,0.3601380922,0.3573547008,0.3593745937,0.374386921,0.366764112,0.3587815332,0.3692227383,0.367512052,0.3645067919,0.3623559002,0.3618897584,0.3581806152,0.365743587,0.3653304786,0.3771293359,0.3566032109,0.363520797,0.3686525442,0.3559750847,0.3639650581,0.3571664983,0.3672789222,0.3644267109,0.3621394476,0.3632152589,0.3702610171,0.3674574075,0.3692307692,0.3586026681,0.3696254592,0.3654579502,0.3663976052,0.3543976908,0.3661421584,0.3631234036,0.3608877622,0.3741004681,0.3530742037,0.3664252396,0.3594128963,0.3618897584,0.3625537466,0.3613894386,0.366073406,0.3652869962,0.3692713841,0.3725366313,0.3596723589,0.3673992175,0.3570967393,0.3587815332,0.3723588061,0.3684839933,0.3706630336,0.3594128963,0.3643518642,0.3631234036,0.3686578635,0.3600996322,0.3679967918,0.3614965416,0.3667717945,0.3747434231,0.3670571609,0.3590266572,0.367571698,0.370491559,0.3606819086,0.3646305955,0.0052386374,2.7443322139175782e-05,0.3652545565,0.3530742037,0.3771293359
